SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CHILDREN,NAME_FAMILY_STATUS,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,TARGET,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,AGE,YEARS_EMPLOYED
100161,85318,938688,13226,21801,2451,1,Married,Secondary,Working,0,11.00222696,0.155020043,59,6
100162,261025,38787,28869,18232,7866,1,Separated,Secondary,Working,0,0.148594962,0.110598602,49,21
100163,87172,550909,23588,15870,2492,2,Single,Secondary,Working,0,6.319793053,0.270591474,43,6
100164,236688,607272,14440,16367,5167,0,Single,Secondary,Working,0,2.565706753,0.061008585,44,14
100165,276951,1492045,32709,20775,3647,2,Married,Secondary,Commercial,0,5.387397049,0.118103925,56,9
100166,113264,316955,48788,8020,10091,1,Widow,Secondary,Working,0,2.798373711,0.430745868,21,27
100167,266458,35447,23495,18946,2681,3,Married,Higher,Working,0,0.133030346,0.088175247,51,7
100168,245281,133046,38019,23495,2150,1,Separated,Lower,Working,0,0.542422772,0.155001814,64,5
100169,132859,744290,45948,15947,683,1,Married,Secondary,State,0,5.602104487,0.345840327,43,1
100170,289536,1022541,49908,9251,10037,0,Single,Higher,Working,0,3.531654095,0.172372347,25,27
100171,277426,646147,1922,14168,6847,2,Married,Lower,Pensioner,0,2.329078745,0.006927974,38,18
100172,197789,193490,28526,8656,1519,1,Married,Incomplete Higher,Working,0,0.978264716,0.144224401,23,4
100173,238164,1037038,8957,10217,11034,0,Single,Secondary,Pensioner,1,4.354302078,0.037608539,27,30
100174,145657,412688,49564,23449,11111,1,Single,Higher,Pensioner,1,2.833286419,0.340278874,64,30
100175,255167,509409,34998,9846,8939,0,Single,Secondary,Working,1,1.996374923,0.137157234,26,24
100176,177381,1291980,44395,11201,5539,1,Married,Higher,Pensioner,0,7.283643682,0.25028047,30,15
100177,214806,521595,25031,18148,5834,2,Widow,Secondary,Working,1,2.428214296,0.116528402,49,15
100178,90467,668689,11006,23551,179,0,Married,Secondary,Working,0,7.391523981,0.121657621,64,0
100179,203734,170937,38701,22341,5033,1,Separated,Secondary,Working,1,0.839020487,0.189958475,61,13
100180,118506,1100426,48063,17491,619,0,Single,Secondary,Working,0,9.28582519,0.405574401,47,1
100181,129751,1369940,26939,22279,1060,1,Separated,Higher,Commercial,0,10.55822306,0.207620751,61,2
100182,188229,248306,21324,12556,2142,1,Widow,Secondary,State,0,1.319169735,0.113287538,34,5
100183,126081,1147384,23867,15363,742,0,Married,Higher,Working,0,9.100371983,0.189298943,42,2
100184,109045,666757,1203,14510,3899,0,Separated,Secondary,Working,1,6.114512357,0.011032143,39,10
100185,54698,233981,17544,22075,4621,3,Single,Secondary,Working,1,4.277688398,0.320742989,60,12
100186,130078,527220,16899,15176,2367,0,Widow,Higher,Commercial,1,4.053106598,0.129914359,41,6
100187,42671,58072,30063,18760,4720,0,Widow,Lower,Working,0,1.360924281,0.704530009,51,12
100188,106202,1076860,26344,8104,10933,1,Married,Secondary,Pensioner,0,10.13973371,0.248055592,22,29
100189,71663,88369,4748,24785,7777,1,Married,Secondary,Working,0,1.233118904,0.066254553,67,21
100190,35708,816554,40486,17701,885,1,Single,Incomplete Higher,Working,1,22.86753669,1.13380755,48,2
100191,153883,742266,2093,13477,2982,1,Married,Secondary,Pensioner,0,4.823573754,0.013601243,36,8
100192,132547,592100,16228,14636,7393,1,Married,Incomplete Higher,Working,1,4.467094691,0.122432043,40,20
100193,54754,1323719,21884,21847,8015,1,Married,Higher,Working,0,24.17574972,0.399678562,59,21
100194,246814,289580,26183,23294,1716,1,Married,Secondary,Working,0,1.173272181,0.106083934,63,4
100195,257714,528156,17034,14702,8821,3,Separated,Secondary,Working,1,2.049388081,0.066096526,40,24
100196,162483,774097,6710,23433,7462,1,Single,Secondary,Unemployed,0,4.764172252,0.041296628,64,20
100197,153983,1472071,43500,14600,9638,1,Widow,Secondary,Working,0,9.559957917,0.282498717,40,26
100198,234835,257164,20259,14655,9776,0,Separated,Incomplete Higher,Working,0,1.095083782,0.086269083,40,26
100199,104896,774605,36959,23872,5629,0,Married,Higher,Working,1,7.384504652,0.35233946,65,15
100200,91295,1341921,34457,17133,10274,0,Single,Higher,Working,0,14.69873487,0.377424832,46,28
100201,239686,155787,21143,19417,1802,0,Single,Higher,State,0,0.649962868,0.088211243,53,4
100202,293255,165381,3103,20103,6209,3,Single,Secondary,Pensioner,0,0.563949464,0.010581235,55,17
100203,152874,454830,1365,18999,3927,0,Married,Higher,Pensioner,0,2.975195259,0.008928922,52,10
100204,28155,909098,47778,13887,3542,2,Married,Secondary,Working,0,32.2890428,1.696963239,38,9
100205,67254,1410568,45535,20433,4987,2,Separated,Higher,Working,0,20.97374134,0.677060101,55,13
100206,105981,73920,17103,15729,11163,1,Married,Secondary,Working,1,0.697483511,0.161377983,43,30
100207,50306,835051,33510,10652,7416,0,Married,Higher,Commercial,1,16.59943148,0.666123325,29,20
100208,167718,655024,25476,13297,11314,1,Married,Incomplete Higher,Working,0,3.905508055,0.151897828,36,30
100209,140975,935997,13742,11671,447,2,Widow,Secondary,Working,1,6.639453804,0.097478276,31,1
100210,127512,546357,13391,22259,11644,0,Separated,Secondary,Pensioner,0,4.284749671,0.105017567,60,31
100211,167443,12531,37940,18744,2937,2,Widow,Higher,Working,0,0.074837407,0.226584569,51,8
100212,153121,435267,29901,24772,1835,1,Married,Secondary,Working,0,2.842634257,0.195276938,67,5
100213,182688,1120731,33001,8322,7353,2,Married,Higher,Working,0,6.134672228,0.180641312,22,20
100214,137796,936479,16623,20716,1998,2,Widow,Lower,Working,0,6.796126158,0.120634852,56,5
100215,212506,312747,3378,11736,7582,0,Married,Secondary,Working,0,1.471709034,0.015896022,32,20
100216,194088,945756,22372,11610,1167,1,Single,Secondary,Working,1,4.872820576,0.115267301,31,3
100217,289544,479013,45799,24082,1580,0,Single,Higher,Working,0,1.65437032,0.158176305,65,4
100218,193714,137503,39437,13555,5358,1,Single,Secondary,Working,0,0.709824793,0.203583634,37,14
100219,35151,697841,36503,24502,8609,1,Married,Secondary,State,0,19.85266422,1.038462633,67,23
100220,86690,669917,31746,22191,1458,1,Single,Incomplete Higher,Working,0,7.727730996,0.366201407,60,3
100221,24499,1419022,28923,20039,7643,0,Single,Higher,Commercial,0,57.92162945,1.180578799,54,20
100222,26295,957246,10867,15983,7121,0,Single,Secondary,Working,0,36.40410724,0.413272485,43,19
100223,294327,24675,42258,21221,6681,2,Married,Secondary,Working,1,0.083835326,0.143575003,58,18
100224,163946,78997,34724,14950,9261,3,Married,Higher,Pensioner,1,0.481847682,0.211801447,40,25
100225,52711,153087,10306,22882,1078,1,Married,Higher,Working,0,2.904270456,0.195518962,62,2
100226,287683,972561,40391,18609,2490,2,Single,Incomplete Higher,Working,0,3.380669,0.140401066,50,6
100227,204423,491799,15908,24855,2273,0,Single,Secondary,Pensioner,1,2.405790934,0.077819032,68,6
100228,199426,524349,28081,11071,7216,0,Married,Incomplete Higher,Working,0,2.629291065,0.140809122,30,19
100229,153629,760678,38228,10083,1365,2,Married,Higher,Working,0,4.951395895,0.248833228,27,3
100230,233090,145905,24386,20435,2036,1,Single,Higher,Working,0,0.62595993,0.104620533,55,5
100231,153272,275040,47754,8424,599,0,Single,Higher,Commercial,0,1.794456913,0.311563756,23,1
100232,263548,1479764,46406,18363,11123,1,Widow,Secondary,Pensioner,1,5.61477985,0.176081776,50,30
100233,198047,316877,29302,16757,9130,0,Married,Lower,Working,0,1.600009089,0.147954778,45,25
100234,139121,571088,20212,22590,608,2,Single,Secondary,Working,0,4.104973369,0.145283602,61,1
100235,97505,1149620,36618,23180,61,2,Single,Secondary,Working,0,11.79036972,0.375549972,63,0
100236,22869,272491,47067,22479,972,1,Separated,Incomplete Higher,Working,0,11.91530019,2.058113604,61,2
100237,277186,494066,11698,19118,11708,1,Married,Higher,Working,1,1.782434899,0.042202709,52,32
100238,132296,663003,5594,23133,2157,1,Married,Incomplete Higher,Working,0,5.011512064,0.042283969,63,5
100239,114179,307929,26525,17535,3272,1,Married,Higher,Working,0,2.696896978,0.23231067,48,8
100240,110272,810113,15282,13539,9314,1,Married,Secondary,Working,1,7.346497751,0.138584591,37,25
100241,58467,371008,15334,18897,11767,0,Married,Incomplete Higher,Pensioner,0,6.345596661,0.262267604,51,32
100242,155059,938396,30179,12803,1156,1,Married,Secondary,Working,0,6.051864129,0.194629141,35,3
100243,78871,838731,7644,9576,9626,0,Married,Incomplete Higher,Working,0,10.63421283,0.096917752,26,26
100244,148391,1070649,36618,8947,9728,2,Single,Secondary,Working,0,7.215053474,0.246766987,24,26
100245,106416,758158,48701,24760,11034,0,Separated,Incomplete Higher,Pensioner,0,7.124473763,0.457647346,67,30
100246,276687,1461081,33933,20369,11111,1,Married,Secondary,State,0,5.280627568,0.122640384,55,30
100247,221163,120359,44469,15401,8137,0,Single,Higher,State,0,0.544209474,0.201068895,42,22
100248,127450,930431,34687,13306,5846,1,Separated,Incomplete Higher,Working,1,7.300360926,0.272161632,36,16
100249,191890,71707,42073,19923,8600,0,Separated,Secondary,State,0,0.37368805,0.219255824,54,23
100250,136381,256351,18375,21232,3774,0,Separated,Higher,Working,0,1.879667989,0.134732844,58,10
100251,67333,475670,49483,15858,7458,0,Widow,Incomplete Higher,Working,0,7.064440913,0.734899678,43,20
100252,154508,1292087,31926,17005,8477,0,Separated,Higher,Working,1,8.362589639,0.206630077,46,23
100253,225362,1289294,37607,11724,10237,1,Single,Incomplete Higher,State,0,5.720991117,0.166873741,32,28
100254,170810,55601,18642,12254,8709,0,Widow,Secondary,State,1,0.325513729,0.109138809,33,23
100255,69377,999969,24993,13525,9512,0,Widow,Secondary,Pensioner,0,14.41355204,0.360249074,37,26
100256,156672,1449331,45386,18432,1108,2,Single,Secondary,Pensioner,1,9.250734018,0.289688011,50,3
100257,245732,500479,47287,22399,10442,1,Single,Secondary,Working,0,2.036686309,0.19243322,61,28
100258,191836,1467436,22188,18920,7310,0,Separated,Secondary,Working,0,7.649429721,0.115661294,51,20
100259,225615,1465537,33596,11146,5879,0,Single,Higher,Working,0,6.495742748,0.148908539,30,16
100260,65714,256924,28772,22841,9724,1,Widow,Secondary,Pensioner,1,3.909730042,0.437836686,62,26
100261,122946,788441,31857,16687,7561,1,Single,Secondary,Working,0,6.412904853,0.259113757,45,20
100262,125983,254430,11776,20632,10897,1,Single,Secondary,Pensioner,0,2.019558194,0.093472929,56,29
100263,207563,1481313,33835,23683,4480,0,Married,Incomplete Higher,Working,0,7.136691029,0.163010749,64,12
100264,144123,1176364,10788,11728,2389,2,Single,Higher,Working,1,8.162222546,0.07485273,32,6
100265,102989,285466,6660,23770,6591,1,Married,Secondary,Working,1,2.771810582,0.0646671,65,18
100266,198274,455930,5478,7483,2330,0,Married,Incomplete Higher,Working,0,2.299494639,0.027628433,20,6
100267,183707,1403616,9210,23699,66,0,Single,Secondary,Pensioner,0,7.640514515,0.050134181,64,0
100268,285564,1115868,11922,9073,4131,0,Single,Lower,Working,0,3.907593394,0.04174896,24,11
100269,151373,558343,37289,23090,9044,0,Married,Higher,Working,1,3.688524374,0.246338515,63,24
100270,135294,310035,34340,10096,4290,0,Single,Secondary,Working,1,2.291565036,0.253817612,27,11
100271,144019,1406256,40850,16893,5983,1,Married,Higher,Working,0,9.764378311,0.28364313,46,16
